Gate_Type,VDD_V,Load_Cap_fF,Temperature_C,Transistor_Width_um,Fanout,Input_Slew_ps,Propagation_Delay_ps
XOR2,1.101321654897855,12.875331061701353,46.1006691707526,1.2333175392069302,5,51.282345502081505,63.28096785301925
AND2,0.9290934433689463,33.5022247656961,93.8292998427255,1.7719514575930226,2,116.20683871188189,152.55168079630306
NOR2,0.9414844360426775,42.11588524118097,46.972275011039685,0.7909506850871542,1,75.30303662982806,213.04080722333453
AND2,0.7667399862079718,27.98236250259165,68.86716968030488,0.6837851913049132,3,88.78499933782615,241.11986385794495
AND2,0.7403007568785622,8.504080504113853,103.20018255939414,0.5220171122510968,1,44.67302725502601,71.83467598692356
NAND2,1.0639696534868825,36.677705429472155,103.3952518097841,0.19103197996143884,5,82.04415581535422,503.50834288300257
NOR2,0.9482305761776498,30.41231909487957,70.32617725258596,0.20086625303450403,5,34.64673114887448,399.7836883442702
NOR2,0.9184253513075897,36.83127887802138,104.21899382752451,1.7557037630454515,3,33.18614551579316,151.51900258475476
NOR2,1.0647541143261983,38.717584519997274,108.86217961980567,1.3953791152431056,5,87.19305320808404,223.59603245858003
AND2,1.0827564494955548,48.79510801655251,90.47757512842603,1.3618009410205938,4,64.96039467023753,224.77309856357272
XOR2,0.7794540838346767,29.10460072130879,47.84258523084202,1.2755284995975857,3,83.57681019857482,199.48820197519916
NOR2,1.0051125747388205,17.74041452183949,52.401178038554754,1.7165319920249171,4,35.985426436030544,63.08317962110083
OR2,0.7676770411388427,32.774763288111615,56.48411554087354,1.0229018202513795,5,73.853184221524,269.01453584317187
AND2,1.0756875430145227,4.3535947528886805,36.6804107733952,1.7563723576896044,3,56.05236971585794,14.453533421606823
NAND2,1.0284775781335698,44.97246859775773,52.31596203699451,0.7957566492226096,4,73.65043298723572,245.91707228779362
XOR2,1.178307310541729,6.8496695555716425,45.95192243125321,1.8622101081574902,5,38.451169208085226,24.65146294271633
OR2,0.7344790081782105,17.064299056405094,70.53287498086021,1.4334751225527314,2,87.27686081964924,95.97067020777288
OR2,0.7285273605756271,40.97152365067993,115.84375478722649,0.6034930157259232,2,97.68187710833854,434.5359965717697
NAND2,0.8410935373466,30.26830653820488,35.44803167539581,1.180479652774615,1,34.89039449363822,104.71819820157542
XOR2,0.8308528418679529,20.28814049359466,97.02679239473956,1.1220974555979204,2,39.57136438339884,136.40678395887272
AND2,0.8234893995359999,24.19834730937605,93.72830044131277,0.37924978485302785,4,81.03274101769568,294.5301782276165
INV,1.1531272902605183,42.87282226690684,34.575419866335764,1.2315366628111544,2,84.99229504490758,107.16454674580056
XOR2,0.824773099924753,17.660214916934716,117.25724049058,0.7117969725878809,3,85.97146370570675,187.17911553854495
NAND2,0.8359748630643155,43.6128345557964,81.84722021568196,0.21841568160205257,3,83.51032804922123,577.2095805465141
OR2,1.0796991312089819,5.318587117857883,61.372552113568425,1.903473576488342,3,50.17288744954196,15.226738039112213
AND2,0.92486992122527,39.063123423222905,100.65385834953067,1.326001893840861,2,50.40817255642301,172.04743483430178
XOR2,1.0883552784775905,42.529834019682085,50.7365458401634,1.7686075919171922,2,34.30402671910387,147.59463819742467
INV,0.7326830787821925,9.909064989029599,94.35098370463204,1.3909852894249157,1,23.035875488081743,30.019027507000306
INV,0.9437855968366922,22.086980086237823,28.97112075722472,0.7911293412234123,5,84.64639863064416,97.09894340667762
NOR2,0.7168068000916412,9.109488958519126,108.9408037609272,1.0838535759781653,1,15.716710386815976,49.50664437342494
NOR2,0.7313266017276772,35.62360232071667,69.81708470213185,1.3904039094526928,4,112.84611298047989,268.9355173821243
NAND2,1.1532187266722054,27.23204063502118,88.66929143579418,1.9252743713787024,3,100.06892492221691,88.0211054427585
XOR2,0.7696226855587975,32.13084398870773,47.12378198066837,0.5968985831487893,2,103.61316009508445,323.47808458963397
XOR2,0.9662103411376085,10.627861380854347,92.7073712658448,1.7649568702133411,5,109.26691368074688,82.39299844231283
